Player_Name,Age,Nationality,Position,Current_Club,League,Season,Appearances,Goals,Market_Value_Million_EUR,Transfer_Fee_Million_EUR,Shots_Per_Game,Dribbles_Per_Game,Key_Passes_Per_Game,Tackles_Per_Game,Interceptions_Per_Game,Clearances_Per_Game,Pass_Accuracy_Percentage,Saves_Per_Game,Clean_Sheets,Save_Percentage
Wayne Hardy,23.0,Portugal,DF,PSG,Ligue 1,2010/2011,31.0,18.0,88.1,95.7,0.7,1.5,0.5,3.9,2.2,3.2,83.2,0.1,8.4,4.9
Danielle Hernandez,32.0,Brazil,GK,Bayern Munich,,,24.0,29.0,68.2,63.6,0.0,0.2,0.0,0.0,0.1,0.5,72.3,2.8,17.5,
Amanda Hernandez,20.0,Germany,MF,Inter Milan,Ligue 1,2013/2014,33.0,23.0,113.7,92.6,0.8,2.7,2.6,3.4,2.0,1.7,85.7,0.1,3.5,3.7
Daniel Macdonald,22.0,Brazil,GK,,Premier League,2017/2018,19.0,20.0,57.6,,0.1,0.2,0.1,,0.0,,72.6,4.2,14.7,81.9
,35.0,,DF,Liverpool,Ligue 1,2018/2019,25.0,7.0,44.1,84.8,0.5,0.5,0.7,3.9,,4.7,,0.2,4.3,4.4
,25.0,France,DF,Manchester United,Serie A,2021/2022,,1.0,,102.4,0.1,0.4,0.2,4.2,2.3,6.5,85.4,0.3,,0.4
Carolyn Mora,32.0,Netherlands,MF,Barcelona,La Liga,2011/2012,43.0,18.0,71.6,88.6,,1.8,2.7,3.3,2.0,1.4,82.1,0.1,1.8,
Holly Morales,35.0,Belgium,MF,Liverpool,Premier League,2010/2011,,14.0,104.2,84.5,0.6,,3.0,3.0,,,89.1,0.2,0.7,0.9
Jonathan Santos,35.0,England,MF,Arsenal,Ligue 1,2013/2014,,29.0,38.5,,1.2,1.3,1.5,3.0,1.0,1.2,80.4,,,
Austin Jackson,26.0,Argentina,MF,,Bundesliga,2013/2014,12.0,27.0,8.4,110.2,1.9,3.0,3.0,2.2,1.1,1.1,81.7,,2.8,4.7
