Player_ID,Player_Name,Age,Nationality,Position,Current_Club,League,Appearances,Goals,Market_Value_Million_EUR,Transfer_Fee_Million_EUR,Shots_Per_Game,Dribbles_Per_Game,Key_Passes_Per_Game,Tackles_Per_Game,Interceptions_Per_Game,Clearances_Per_Game,Pass_Accuracy_Percentage,Saves_Per_Game,Clean_Sheets,Save_Percentage,Contract_Start,Contract_End,Height_cm,Weight_kg,Preferred_Foot
93810,Wayne Hardy,23,Portugal,DF,PSG,Ligue 1,31,18,88.1,95.7,0.7,1.5,0.5,3.9,2.2,3.2,83.2,0.1,8.4,4.9,2010-11-21,2011-05-01,193,80,Right
24592,Danielle Hernandez,32,Brazil,GK,Bayern Munich,,24,29,68.2,63.6,0,0.2,0,0,0.1,0.5,72.3,2.8,17.5,,2007-02-21,2012-02-16,192,78,Right
13278,Amanda Hernandez,20,Germany,MF,Inter Milan,Ligue 1,33,23,113.7,92.6,0.8,2.7,2.6,3.4,2,1.7,85.7,0.1,3.5,3.7,2013-04-23,2017-09-26,181,78,Right
46048,Daniel Macdonald,22,Brazil,GK,,Premier League,19,20,57.6,,0.1,0.2,0.1,,0,,72.6,4.2,14.7,81.9,2011-01-27,2012-04-20,192,95,Left
42098,,35,,DF,Liverpool,Ligue 1,25,7,44.1,84.8,0.5,0.5,0.7,3.9,,4.7,,0.2,4.3,4.4,2014-03-18,2019-02-14,173,88,Left
39256,,25,France,DF,Manchester United,Serie A,,1,,102.4,0.1,0.4,0.2,4.2,2.3,6.5,85.4,0.3,,0.4,2013-08-20,2015-07-03,173,77,Both
28289,Carolyn Mora,32,Netherlands,MF,Barcelona,La Liga,43,18,71.6,88.6,,1.8,2.7,3.3,2,1.4,82.1,0.1,1.8,,2016-09-13,2021-12-16,189,61,Left
23434,Holly Morales,35,Belgium,MF,Liverpool,Premier League,,14,104.2,84.5,0.6,,3,3,,,89.1,0.2,0.7,0.9,2006-06-24,2007-05-23,185,60,Right
98696,Jonathan Santos,35,England,MF,Arsenal,Ligue 1,,29,38.5,,1.2,1.3,1.5,3,1,1.2,80.4,,,,2013-11-25,2018-09-18,181,64,Right
81482,Austin Jackson,26,Argentina,MF,,Bundesliga,12,27,8.4,110.2,1.9,3,3,2.2,1.1,1.1,81.7,,2.8,4.7,2008-10-10,2013-10-15,177,79,Right
21395,Barbara Luna,,France,GK,Manchester United,Serie A,45,22,3.8,51.6,0.1,,0.2,0.2,0.1,0.9,60.3,4.8,9.1,86.3,2016-09-28,2018-11-14,201,70,
87397,Rebecca Smith,19,France,DF,Arsenal,La Liga,33,25,79.9,12,0.7,0.8,0.3,2.5,2.3,6.9,87.2,0.1,4.9,0.9,2007-07-04,2011-12-03,180,61,Left
